T_K,T_C,J_MA_cm2,L_um,MTTF_hours
443.0,169.85,0.5,5.0,
443.0,169.85,0.5,15.0,
443.0,169.85,0.5,25.0,
443.0,169.85,0.5,35.0,
443.0,169.85,0.5,40.0,
443.0,169.85,0.5,50.0,
443.0,169.85,0.5,65.0,220916.88927619415
443.0,169.85,0.5,90.0,41668.452906476465
443.0,169.85,0.5,130.0,33741.76989155097
443.0,169.85,0.5,200.0,26706.027690780793
443.0,169.85,0.5,350.0,14621.990555250408
443.0,169.85,0.5,600.0,14837.581227098257
443.0,169.85,1.0,5.0,
443.0,169.85,1.0,15.0,
443.0,169.85,1.0,25.0,
443.0,169.85,1.0,35.0,32737.58529464658
443.0,169.85,1.0,40.0,17501.65727684401
443.0,169.85,1.0,50.0,11441.05456501475
443.0,169.85,1.0,65.0,7497.1295827195945
443.0,169.85,1.0,90.0,7852.346544945381
443.0,169.85,1.0,130.0,6702.433440249452
443.0,169.85,1.0,200.0,5451.33830915694
443.0,169.85,1.0,350.0,5942.535804822209
443.0,169.85,1.0,600.0,5180.270637024982
443.0,169.85,2.0,5.0,
443.0,169.85,2.0,15.0,
443.0,169.85,2.0,25.0,3102.4107538830344
443.0,169.85,2.0,35.0,2610.941841145752
443.0,169.85,2.0,40.0,1956.1022562466821
443.0,169.85,2.0,50.0,2300.726858637954
443.0,169.85,2.0,65.0,1821.4957189747045
443.0,169.85,2.0,90.0,1647.690831481939
443.0,169.85,2.0,130.0,1440.867697465462
443.0,169.85,2.0,200.0,1833.3141715618167
443.0,169.85,2.0,350.0,1441.0987013611004
443.0,169.85,2.0,600.0,1357.7803135959289
443.0,169.85,4.0,5.0,
443.0,169.85,4.0,15.0,920.5988722232105
443.0,169.85,4.0,25.0,750.8595223368756
443.0,169.85,4.0,35.0,652.4117785848077
443.0,169.85,4.0,40.0,635.3947853142572
443.0,169.85,4.0,50.0,609.0128321241016
443.0,169.85,4.0,65.0,756.3821369088428
443.0,169.85,4.0,90.0,498.0728656472756
443.0,169.85,4.0,130.0,476.88924323939546
443.0,169.85,4.0,200.0,446.2380535295172
443.0,169.85,4.0,350.0,543.8947035759271
443.0,169.85,4.0,600.0,582.0881428529606
443.0,169.85,8.0,5.0,737.2471713721898
443.0,169.85,8.0,15.0,220.38578292112282
443.0,169.85,8.0,25.0,194.9158088083676
443.0,169.85,8.0,35.0,231.5135890883012
443.0,169.85,8.0,40.0,231.28464166824932
443.0,169.85,8.0,50.0,219.89620733890615
443.0,169.85,8.0,65.0,180.06500649122475
443.0,169.85,8.0,90.0,202.5739046840395
