T_K,T_C,J_MA_cm2,L_um,jL_product_A_cm,immortal,MTTF_hours,Ea_eff_eV_ground_truth,n_eff_ground_truth,blech_boost_ground_truth
443.0,169.85,0.5,5.0,250.0,True,,0.901,1.8696,
443.0,169.85,0.5,15.0,750.0,True,,0.901,1.8696,
443.0,169.85,0.5,25.0,1250.0,True,,0.901,1.8696,
443.0,169.85,0.5,35.0,1750.0,True,,0.901,1.8696,
443.0,169.85,0.5,40.0,2000.0,True,,0.901,1.8696,
443.0,169.85,0.5,50.0,2500.0,True,,0.901,1.8696,
443.0,169.85,0.5,65.0,3250.0,False,220916.88927619415,0.901,1.8696,13.0
443.0,169.85,0.5,90.0,4500.0,False,41668.452906476465,0.901,1.8696,3.0
443.0,169.85,0.5,130.0,6500.0,False,33741.76989155097,0.901,1.8696,1.8571
443.0,169.85,0.5,200.0,10000.0,False,26706.027690780793,0.901,1.8696,1.4286
443.0,169.85,0.5,350.0,17500.0,False,14621.990555250408,0.901,1.8696,1.2069
443.0,169.85,0.5,600.0,30000.0,False,14837.581227098257,0.901,1.8696,1.1111
443.0,169.85,1.0,5.0,500.0,True,,0.901,1.7692,
443.0,169.85,1.0,15.0,1500.0,True,,0.901,1.7692,
443.0,169.85,1.0,25.0,2500.0,True,,0.901,1.7692,
443.0,169.85,1.0,35.0,3500.0,False,32737.58529464658,0.901,1.7692,7.0
443.0,169.85,1.0,40.0,4000.0,False,17501.65727684401,0.901,1.7692,4.0
443.0,169.85,1.0,50.0,5000.0,False,11441.05456501475,0.901,1.7692,2.5
443.0,169.85,1.0,65.0,6500.0,False,7497.1295827195945,0.901,1.7692,1.8571
443.0,169.85,1.0,90.0,9000.0,False,7852.346544945381,0.901,1.7692,1.5
443.0,169.85,1.0,130.0,13000.0,False,6702.433440249452,0.901,1.7692,1.3
443.0,169.85,1.0,200.0,20000.0,False,5451.33830915694,0.901,1.7692,1.1765
443.0,169.85,1.0,350.0,35000.0,False,5942.535804822209,0.901,1.7692,1.0938
443.0,169.85,1.0,600.0,60000.0,False,5180.270637024982,0.901,1.7692,1.0526
443.0,169.85,2.0,5.0,1000.0,True,,0.901,1.625,
443.0,169.85,2.0,15.0,3000.0,True,,0.901,1.625,
443.0,169.85,2.0,25.0,5000.0,False,3102.4107538830344,0.901,1.625,2.5
443.0,169.85,2.0,35.0,7000.0,False,2610.941841145752,0.901,1.625,1.75
443.0,169.85,2.0,40.0,8000.0,False,1956.1022562466821,0.901,1.625,1.6
443.0,169.85,2.0,50.0,10000.0,False,2300.726858637954,0.901,1.625,1.4286
443.0,169.85,2.0,65.0,13000.0,False,1821.4957189747045,0.901,1.625,1.3
443.0,169.85,2.0,90.0,18000.0,False,1647.690831481939,0.901,1.625,1.2
443.0,169.85,2.0,130.0,26000.0,False,1440.867697465462,0.901,1.625,1.1304
443.0,169.85,2.0,200.0,40000.0,False,1833.3141715618167,0.901,1.625,1.0811
443.0,169.85,2.0,350.0,70000.0,False,1441.0987013611004,0.901,1.625,1.0448
443.0,169.85,2.0,600.0,120000.0,False,1357.7803135959289,0.901,1.625,1.0256
443.0,169.85,4.0,5.0,2000.0,True,,0.901,1.4545,
443.0,169.85,4.0,15.0,6000.0,False,920.5988722232105,0.901,1.4545,2.0
443.0,169.85,4.0,25.0,10000.0,False,750.8595223368756,0.901,1.4545,1.4286
443.0,169.85,4.0,35.0,14000.0,False,652.4117785848077,0.901,1.4545,1.2727
443.0,169.85,4.0,40.0,16000.0,False,635.3947853142572,0.901,1.4545,1.2308
443.0,169.85,4.0,50.0,20000.0,False,609.0128321241016,0.901,1.4545,1.1765
443.0,169.85,4.0,65.0,26000.0,False,756.3821369088428,0.901,1.4545,1.1304
443.0,169.85,4.0,90.0,36000.0,False,498.0728656472756,0.901,1.4545,1.0909
443.0,169.85,4.0,130.0,52000.0,False,476.88924323939546,0.901,1.4545,1.0612
443.0,169.85,4.0,200.0,80000.0,False,446.2380535295172,0.901,1.4545,1.039
443.0,169.85,4.0,350.0,140000.0,False,543.8947035759271,0.901,1.4545,1.0219
443.0,169.85,4.0,600.0,240000.0,False,582.0881428529606,0.901,1.4545,1.0127
443.0,169.85,8.0,5.0,4000.0,False,737.2471713721898,0.901,1.2941,4.0
443.0,169.85,8.0,15.0,12000.0,False,220.38578292112282,0.901,1.2941,1.3333
443.0,169.85,8.0,25.0,20000.0,False,194.9158088083676,0.901,1.2941,1.1765
443.0,169.85,8.0,35.0,28000.0,False,231.5135890883012,0.901,1.2941,1.12
443.0,169.85,8.0,40.0,32000.0,False,231.28464166824932,0.901,1.2941,1.1034
443.0,169.85,8.0,50.0,40000.0,False,219.89620733890615,0.901,1.2941,1.0811
443.0,169.85,8.0,65.0,52000.0,False,180.06500649122475,0.901,1.2941,1.0612
443.0,169.85,8.0,90.0,72000.0,False,202.5739046840395,0.901,1.2941,1.0435
443.0,169.85,8.0,130.0,104000.0,False,196.46694968181487,0.901,1.2941,1.0297
443.0,169.85,8.0,200.0,160000.0,False,197.44346059399967,0.901,1.2941,1.0191
443.0,169.85,8.0,350.0,280000.0,False,215.9846590321011,0.901,1.2941,1.0108
443.0,169.85,8.0,600.0,480000.0,False,195.10344670391362,0.901,1.2941,1.0063
455.0,181.85,0.5,5.0,250.0,True,,0.9232,1.8696,
455.0,181.85,0.5,15.0,750.0,True,,0.9232,1.8696,
455.0,181.85,0.5,25.0,1250.0,True,,0.9232,1.8696,
455.0,181.85,0.5,35.0,1750.0,True,,0.9232,1.8696,
455.0,181.85,0.5,40.0,2000.0,True,,0.9232,1.8696,
455.0,181.85,0.5,50.0,2500.0,True,,0.9232,1.8696,
455.0,181.85,0.5,65.0,3250.0,False,124452.77262522858,0.9232,1.8696,13.0
455.0,181.85,0.5,90.0,4500.0,False,26203.39715494549,0.9232,1.8696,3.0
455.0,181.85,0.5,130.0,6500.0,False,16769.25304808816,0.9232,1.8696,1.8571
455.0,181.85,0.5,200.0,10000.0,False,13578.777466055373,0.9232,1.8696,1.4286
455.0,181.85,0.5,350.0,17500.0,False,8386.462294754645,0.9232,1.8696,1.2069
455.0,181.85,0.5,600.0,30000.0,False,9157.28510535598,0.9232,1.8696,1.1111
455.0,181.85,1.0,5.0,500.0,True,,0.9232,1.7692,
455.0,181.85,1.0,15.0,1500.0,True,,0.9232,1.7692,
455.0,181.85,1.0,25.0,2500.0,True,,0.9232,1.7692,
455.0,181.85,1.0,35.0,3500.0,False,15939.52904681662,0.9232,1.7692,7.0
455.0,181.85,1.0,40.0,4000.0,False,8880.968004053793,0.9232,1.7692,4.0
455.0,181.85,1.0,50.0,5000.0,False,5861.861825768416,0.9232,1.7692,2.5
455.0,181.85,1.0,65.0,6500.0,False,5678.7337794972855,0.9232,1.7692,1.8571
455.0,181.85,1.0,90.0,9000.0,False,3218.8955936941466,0.9232,1.7692,1.5
455.0,181.85,1.0,130.0,13000.0,False,3673.1657569145655,0.9232,1.7692,1.3
455.0,181.85,1.0,200.0,20000.0,False,2233.425131186686,0.9232,1.7692,1.1765
