T_K,T_C,J_MA_cm2,MTTF_hours,Ea_eff_eV_ground_truth,n_eff_ground_truth
443.0,169.85,0.5,13353.95664395487,0.901,1.8696
443.0,169.85,1.0,4921.404747316152,0.901,1.7692
443.0,169.85,2.0,1323.8887613064828,0.901,1.625
443.0,169.85,4.0,574.7883310486428,0.901,1.4545
443.0,169.85,8.0,193.88199016586864,0.901,1.2941
455.0,181.85,0.5,8241.639011210495,0.9232,1.8696
455.0,181.85,1.0,2504.0034645944247,0.9232,1.7692
455.0,181.85,2.0,655.0229788183959,0.9232,1.625
455.0,181.85,4.0,244.05792533567777,0.9232,1.4545
455.0,181.85,8.0,80.37102644321314,0.9232,1.2941
456.42,183.27,0.5,9763.14792914363,0.926,1.8696
456.42,183.27,1.0,2423.5227060694197,0.926,1.7692
456.42,183.27,2.0,599.2292571004493,0.926,1.625
456.42,183.27,4.0,195.3404785323213,0.926,1.4545
456.42,183.27,8.0,96.58834247132249,0.926,1.2941
457.31,184.16,0.5,7858.542405434551,0.9277,1.8696
457.31,184.16,1.0,2012.7007585120973,0.9277,1.7692
457.31,184.16,2.0,651.9620920705919,0.9277,1.625
457.31,184.16,4.0,239.4714360661497,0.9277,1.4545
457.31,184.16,8.0,86.2876667300568,0.9277,1.2941
459.62,186.47,0.5,6426.151916377245,0.9321,1.8696
459.62,186.47,1.0,1697.9303879696993,0.9321,1.7692
459.62,186.47,2.0,642.7283933600622,0.9321,1.625
459.62,186.47,4.0,270.0507018073017,0.9321,1.4545
459.62,186.47,8.0,72.72763632945359,0.9321,1.2941
461.92,188.77,0.5,4995.7820758441,0.9366,1.8696
461.92,188.77,1.0,1650.7729673163967,0.9366,1.7692
461.92,188.77,2.0,565.5939294129755,0.9366,1.625
461.92,188.77,4.0,191.92423908758363,0.9366,1.4545
461.92,188.77,8.0,70.53775351154357,0.9366,1.2941
464.23,191.08,0.5,3667.305087118527,0.9412,1.8696
464.23,191.08,1.0,1733.8736564351855,0.9412,1.7692
464.23,191.08,2.0,608.7966312285785,0.9412,1.625
464.23,191.08,4.0,180.29647197734175,0.9412,1.4545
464.23,191.08,8.0,51.85972752935103,0.9412,1.2941
466.54,193.39,0.5,5020.140679107452,0.9457,1.8696
466.54,193.39,1.0,1432.447329882653,0.9457,1.7692
466.54,193.39,2.0,407.6311870071834,0.9457,1.625
466.54,193.39,4.0,174.97855099360814,0.9457,1.4545
466.54,193.39,8.0,45.90741102730599,0.9457,1.2941
468.85,195.7,0.5,3455.0102553066395,0.9503,1.8696
468.85,195.7,1.0,1306.7955235875434,0.9503,1.7692
468.85,195.7,2.0,275.3985983443047,0.9503,1.625
468.85,195.7,4.0,156.38087779488214,0.9503,1.4545
468.85,195.7,8.0,52.95886976339369,0.9503,1.2941
469.84,196.69,0.5,3460.342889955606,0.9523,1.8696
469.84,196.69,1.0,1347.4876664608519,0.9523,1.7692
469.84,196.69,2.0,415.17695003431834,0.9523,1.625
469.84,196.69,4.0,162.37875265661148,0.9523,1.4545
469.84,196.69,8.0,69.27279805932191,0.9523,1.2941
471.15,198.0,0.5,3708.766222637276,0.9549,1.8696
471.15,198.0,1.0,1026.6359684200067,0.9549,1.7692
471.15,198.0,2.0,212.09182604755208,0.9549,1.625
471.15,198.0,4.0,119.75806136196199,0.9549,1.4545
471.15,198.0,8.0,44.81549612306764,0.9549,1.2941
473.46,200.31,0.5,3629.905386294764,0.9594,1.8696
473.46,200.31,1.0,994.8476565884891,0.9594,1.7692
473.46,200.31,2.0,308.3567634248471,0.9594,1.625
473.46,200.31,4.0,90.38176782963998,0.9594,1.4545
473.46,200.31,8.0,31.49106380727169,0.9594,1.2941
475.77,202.62,0.5,2543.5746184021227,0.964,1.8696
475.77,202.62,1.0,711.7663263830748,0.964,1.7692
475.77,202.62,2.0,284.22676151032584,0.964,1.625
475.77,202.62,4.0,93.67490700510761,0.964,1.4545
475.77,202.62,8.0,31.837453489269606,0.964,1.2941
478.08,204.93,0.5,1880.1213145986237,0.9686,1.8696
478.08,204.93,1.0,832.364765792932,0.9686,1.7692
478.08,204.93,2.0,240.65159010051903,0.9686,1.625
478.08,204.93,4.0,76.8765556646866,0.9686,1.4545
478.08,204.93,8.0,32.481786455455264,0.9686,1.2941
480.38,207.23,0.5,2567.859078358065,0.9732,1.8696
480.38,207.23,1.0,767.2001484122815,0.9732,1.7692
480.38,207.23,2.0,148.03208798735986,0.9732,1.625
480.38,207.23,4.0,78.36229862335176,0.9732,1.4545
480.38,207.23,8.0,23.885530925296685,0.9732,1.2941
482.69,209.54,0.5,2682.014001851977,0.9777,1.8696
482.69,209.54,1.0,634.727628155341,0.9777,1.7692
482.69,209.54,2.0,190.12554992747,0.9777,1.625
482.69,209.54,4.0,76.34899301079494,0.9777,1.4545
482.69,209.54,8.0,22.88617646424753,0.9777,1.2941
483.26,210.11,0.5,2565.628625530119,0.9788,1.8696
483.26,210.11,1.0,775.3597955806965,0.9788,1.7692
483.26,210.11,2.0,196.7101401035829,0.9788,1.625
483.26,210.11,4.0,66.28861269383546,0.9788,1.4545
483.26,210.11,8.0,25.353033372264694,0.9788,1.2941
485.0,211.85,0.5,2389.1970928819383,0.9822,1.8696
485.0,211.85,1.0,577.5321695149788,0.9822,1.7692
485.0,211.85,2.0,222.847593498895,0.9822,1.625
485.0,211.85,4.0,53.481973922074936,0.9822,1.4545
485.0,211.85,8.0,22.521235708435867,0.9822,1.2941
487.31,214.16,0.5,1710.4426950790134,0.9867,1.8696
487.31,214.16,1.0,479.29225012876134,0.9867,1.7692
487.31,214.16,2.0,102.91707648538676,0.9867,1.625
487.31,214.16,4.0,40.89101543881356,0.9867,1.4545
487.31,214.16,8.0,21.11251531070122,0.9867,1.2941
489.62,216.47,0.5,1668.8742772507467,0.9912,1.8696
489.62,216.47,1.0,424.6913090942712,0.9912,1.7692
489.62,216.47,2.0,112.79205143378428,0.9912,1.625
